iter	Logloss
0	0.6713708202
1	0.6325581756
2	0.6045520527
3	0.5821751652
4	0.5571268111
5	0.5245279553
6	0.5051265263
7	0.4824067732
8	0.4559176724
9	0.4387055437
10	0.4225625209
11	0.4052017253
12	0.385284058
13	0.3628417938
14	0.3496918454
15	0.3374034118
16	0.3268728495
17	0.3092406025
18	0.2989678415
19	0.2878019038
20	0.272187529
21	0.2614521724
22	0.2499614044
23	0.2415120214
24	0.2334156144
25	0.2260781822
26	0.2189455761
27	0.208563817
28	0.2005566809
29	0.1918890983
30	0.1854530921
31	0.1794819926
32	0.1739183683
33	0.1677494099
34	0.1615948064
35	0.1539949492
36	0.1480217944
37	0.1424502184
38	0.1384755002
39	0.1336105563
40	0.1297759899
41	0.1263021275
42	0.1224972026
43	0.1200438238
44	0.1156298343
45	0.1112767877
46	0.1082474936
47	0.1051126345
48	0.1015188786
49	0.09891478742
50	0.09601119157
51	0.09435827017
52	0.09153460114
53	0.08903316809
54	0.08723442836
55	0.08537090057
56	0.08337235312
57	0.08169635034
58	0.08000136066
59	0.07797747308
60	0.07673436412
61	0.07511694288
62	0.07386242385
63	0.0722914578
64	0.07104587474
65	0.06987950728
66	0.06853205758
67	0.0676283565
68	0.06650688234
69	0.06571708074
70	0.06463917623
71	0.06357022313
72	0.06296890032
73	0.06250701223
74	0.06159427678
75	0.06055782195
76	0.05983860613
77	0.05888750568
78	0.05800138277
79	0.05743974818
80	0.05647064516
81	0.05582294974
82	0.05518285437
83	0.05457427846
84	0.053757523
85	0.0529676803
86	0.05235604564
87	0.05191929493
88	0.05159100631
89	0.05086299058
90	0.05041218237
91	0.04995773
92	0.0494748549
93	0.04897492668
94	0.04843480653
95	0.04802444188
96	0.04751881185
97	0.04719347754
98	0.04668311776
99	0.04598173413
100	0.04543153848
101	0.04521058044
102	0.04492486682
103	0.04437958663
104	0.04421297023
105	0.04381561817
106	0.04361661354
107	0.0432615216
108	0.04293083552
109	0.04262363161
110	0.04240304582
111	0.04199684022
112	0.04163597227
113	0.04119690676
114	0.04102113751
115	0.04060736256
116	0.04045226409
117	0.04020483592
118	0.03986761211
119	0.03953092295
120	0.03922530812
121	0.03895479236
122	0.03877837445
123	0.03855267029
124	0.03832077857
125	0.03804383274
126	0.03772699621
127	0.03748503417
128	0.03724053732
129	0.03702740452
